method_key,algorithm,m,iter,time,rel_res,residual,step_type,AA_steps,AA_percent,eta,cs,effective_m,bu_norm
picard,Picard,10,0,17.000869291999997,1.0,97.31189169192768,Picard,0,0.0,0.0,,0,8.710311982369664e-14
picard,Picard,10,1,33.954282042,0.5250532780673655,51.09392772778306,Picard,0,0.0,0.0,,0,1.3390540695985507e-13
picard,Picard,10,2,49.81432375,0.3222891727775722,31.362569074812075,Picard,0,0.0,0.0,,0,9.83493249897671e-14
picard,Picard,10,3,65.117770708,0.5596861511334684,54.46411812057195,Picard,0,0.0,0.0,,0,4.623012270118588e-14
picard,Picard,10,4,80.821303292,0.4928934489181771,47.96439391678634,Picard,0,0.0,0.0,,0,5.1042034542032824e-14
picard,Picard,10,5,96.156217292,0.4184600825983074,40.721142235201604,Picard,0,0.0,0.0,,0,1.1075808371792499e-13
picard,Picard,10,6,111.899204917,0.33171412489827096,32.27972899478311,Picard,0,0.0,0.0,,0,2.1299787943120989e-13
picard,Picard,10,7,127.52914166699999,0.35069941057462656,34.12722305826094,Picard,0,0.0,0.0,,0,1.8206154403047543e-12
picard,Picard,10,8,143.08132512499998,0.2270923651853089,22.09878764497647,Picard,0,0.0,0.0,,0,1.2693829115270974e-13
picard,Picard,10,9,158.58632008299998,0.22839761425120805,22.225803900708236,Picard,0,0.0,0.0,,0,1.0136519537931815e-13
picard,Picard,10,10,179.51393962499998,0.05204905516772286,5.064992019148616,Picard,0,0.0,0.0,,0,2.0214337570855518e-13
picard,Picard,10,11,195.01202958300001,0.06211846352841887,6.044865194946457,Picard,0,0.0,0.0,,0,2.427677650098328e-13
picard,Picard,10,12,210.833791792,0.029676296180410008,2.887856519725626,Picard,0,0.0,0.0,,0,2.9474295459559763e-13
picard,Picard,10,13,226.313966667,0.027511070404843355,2.6771543035651137,Picard,0,0.0,0.0,,0,1.0984349222504542e-13
picard,Picard,10,14,241.86656887500004,0.021619533601310633,2.1038377122407317,Picard,0,0.0,0.0,,0,2.325503339385004e-13
picard,Picard,10,15,257.5011935,0.014878894232095131,1.447893344009289,Picard,0,0.0,0.0,,0,1.6668472519677789e-13
picard,Picard,10,16,273.422734583,0.011750142225859687,1.143428567647604,Picard,0,0.0,0.0,,0,1.6525607281172471e-13
picard,Picard,10,17,289.222738708,0.011961736873303978,1.1640192430622944,Picard,0,0.0,0.0,,0,2.0817795137458746e-13
picard,Picard,10,18,304.85377650000004,0.006937500863550366,0.675101332646468,Picard,0,0.0,0.0,,0,2.1261855633831938e-13
picard,Picard,10,19,320.685193958,0.007595889677854143,0.7391703936351739,Picard,0,0.0,0.0,,0,2.0364756832986006e-13
picard,Picard,10,20,336.61725925,0.007479523494434483,0.7278465801976369,Picard,0,0.0,0.0,,0,6.893832661451734e-12
picard,Picard,10,21,352.45239275,0.00507968520531349,0.4943137765285538,Picard,0,0.0,0.0,,0,3.1927207563470976e-13
picard,Picard,10,22,368.533308208,0.0064308074652371875,0.6257940395488012,Picard,0,0.0,0.0,,0,1.1981310349191036e-13
picard,Picard,10,23,384.178874,0.00520120085067694,0.5061386938490365,Picard,0,0.0,0.0,,0,2.33509550372847e-13
picard,Picard,10,24,399.847957958,0.004939563058689767,0.4806782253726656,Picard,0,0.0,0.0,,0,8.857816111076913e-14
picard,Picard,10,25,415.54234608300004,0.0055348274234571174,0.5386045267649702,Picard,0,0.0,0.0,,0,5.210981356211442e-12
picard,Picard,10,26,431.71083787500004,0.003974763571991042,0.38679176221861195,Picard,0,0.0,0.0,,0,1.5130530005900447e-12
picard,Picard,10,27,447.485024875,0.004856113076854471,0.472557549778616,Picard,0,0.0,0.0,,0,8.317785081138548e-14
picard,Picard,10,28,463.17921825,0.0045672149498877735,0.4444443265372319,Picard,0,0.0,0.0,,0,1.40781297944591e-13
