case,algorithm,m,iterations,time,final_rel_res,final_residual,aa_steps,aa_rate_percent
contractive_madelon,GlobalAndersonSolver eta=0,1,2000,0.3295421600341797,3.3102847527362034e-08,7.402530470790296e-08,1896,94.8
contractive_madelon,GlobalAndersonSolver eta=1e-08,1,2000,0.3038978576660156,3.3102847527362034e-08,7.402530470790296e-08,1896,94.8
contractive_madelon,AA_pure,1,2000,0.2763209342956543,2.6021431085116955e-08,5.81896878635378e-08,2000,100.0
contractive_madelon,AA_residual,1,2000,0.2752065658569336,2.6021431085116955e-08,5.81896878635378e-08,2000,100.0
contractive_madelon,Picard,1,2000,0.17374134063720703,2.6613940063238763e-06,5.951466927522394e-06,0,0.0
contractive_madelon,KM lambda=0.5,1,2000,0.17337703704833984,1.945582110797746e-05,4.35075286097375e-05,0,0.0
contractive_madelon,GlobalAndersonSolver eta=0,3,767,0.23125696182250977,9.829829653894934e-11,2.1981678003830017e-10,426,55.541069100391134
contractive_madelon,GlobalAndersonSolver eta=1e-08,3,797,0.15076208114624023,9.776416848304035e-11,2.186223513095021e-10,613,76.91342534504392
contractive_madelon,AA_pure,3,629,0.23839902877807617,9.961536673810762e-11,2.227620409477673e-10,629,100.0
contractive_madelon,AA_residual,3,620,0.11566662788391113,9.994374280727227e-11,2.2349636262684955e-10,620,100.0
contractive_madelon,Picard,3,2000,0.17374134063720703,2.6613940063238763e-06,5.951466927522394e-06,0,0.0
contractive_madelon,KM lambda=0.5,3,2000,0.17337703704833984,1.945582110797746e-05,4.35075286097375e-05,0,0.0
contractive_madelon,GlobalAndersonSolver eta=0,5,554,0.17258000373840332,9.961941892908232e-11,2.2277110254500268e-10,205,37.00361010830325
contractive_madelon,GlobalAndersonSolver eta=1e-08,5,995,0.18779253959655762,9.996140138652075e-11,2.235358511242816e-10,989,99.39698492462311
contractive_madelon,AA_pure,5,645,0.3346889019012451,9.049043141394571e-11,2.0235666291336527e-10,645,100.0
contractive_madelon,AA_residual,5,761,0.1372077465057373,9.98869626572913e-11,2.2336938962550194e-10,761,100.0
contractive_madelon,Picard,5,2000,0.17374134063720703,2.6613940063238763e-06,5.951466927522394e-06,0,0.0
contractive_madelon,KM lambda=0.5,5,2000,0.17337703704833984,1.945582110797746e-05,4.35075286097375e-05,0,0.0
contractive_madelon,GlobalAndersonSolver eta=0,10,522,0.19938087463378906,9.583731324617302e-11,2.1431347588966933e-10,122,23.371647509578544
contractive_madelon,GlobalAndersonSolver eta=1e-08,10,221,0.0472416877746582,8.814402940420126e-11,1.97109587911887e-10,216,97.73755656108597
contractive_madelon,AA_pure,10,2000,2.0735630989074707,5.2454130836137015e-06,1.1729906362658712e-05,2000,100.0
