algorithm,m,iter,rel_res,residual,time,step_type,diagnostic_residual,objective_value,x_norm,step_from_prev_norm,s_value
Picard (GD),1,0,1,31.056129829713502,0,initial,31.056129829713502,2391510,4242.6406871192848,,300
Picard (GD),1,1,0.99599999999997801,30.931905310393965,3.0040740966796875e-05,Picard,30.931905310393965,2367446.1441600006,4211.5845572895769,31.056129829713502,297.80400000000003
Picard (GD),1,2,0.99201599999998702,30.808177689152664,6.008148193359375e-05,Picard,30.808177689152664,2343574.4141450264,4180.6526519791814,30.931905310393965,295.616784
Picard (GD),1,3,0.98804793599997676,30.684944978395734,8.6307525634765625e-05,Picard,30.684944978395734,2319893.2760224924,4149.8444742900228,30.808177689152664,293.438316864
Picard (GD),1,4,0.98409574425598467,30.562205198482395,0.00011038780212402344,Picard,30.562205198482395,2296401.2081067292,4119.1595293116334,30.684944978395734,291.26856359654403
Picard (GD),1,5,0.98015936127895509,30.43995637768829,0.00013446807861328125,Picard,30.43995637768829,2273096.7008612053,4088.5973241131433,30.562205198482395,289.10748934215786
Picard (GD),1,6,0.97623872383385157,30.31819655217792,0.00015735626220703125,Picard,30.31819655217792,2249978.2568015303,4058.1573677354545,30.43995637768829,286.95505938478931
Picard (GD),1,7,0.97233376893852352,30.196923765969437,0.0001811981201171875,Picard,30.196923765969437,2227044.390399226,4027.8391711832764,30.31819655217792,284.81123914725009
Picard (GD),1,8,0.9684444338627658,30.076136070905445,0.00020384788513183594,Picard,30.076136070905445,2204293.6279862793,3997.6422474173091,30.196923765969437,282.67599419066113
Picard (GD),1,9,0.96457065612730042,29.955831526621377,0.0002269744873046875,Picard,29.955831526621377,2181724.5076604364,3967.5661113464075,30.076136070905445,280.54929021389847
Picard (GD),1,10,0.96071237350279337,29.836008200514961,0.00025010108947753906,Picard,29.836008200514961,2159335.5791912754,3937.6102798197867,29.955831526621377,278.43109305304284
Picard (GD),1,11,0.95686952400879599,29.716664167713329,0.00027298927307128906,Picard,29.716664167713329,2137125.4039270128,3907.7742716192702,29.836008200514961,276.32136868083074
Picard (GD),1,12,0.95304204591276187,29.597797511042508,0.00029516220092773438,Picard,29.597797511042508,2115092.5547020584,3878.057607451552,29.716664167713329,274.22008320610729
Picard (GD),1,13,0.94922987772911216,29.479406320998379,0.00031709671020507812,Picard,29.479406320998379,2093235.6157453174,3848.4598099405139,29.597797511042508,272.1272028732829
Picard (GD),1,14,0.9454329582181954,29.361488695714378,0.00034308433532714844,Picard,29.361488695714378,2071553.1825892071,3818.9804036195201,29.479406320998379,270.0426940617898
Picard (GD),1,15,0.94165122638531984,29.244042740931434,0.00036573410034179688,Picard,29.244042740931434,2050043.8619794145,3789.618914923803,29.361488695714378,267.96652328554262
Picard (GD),1,16,0.93788462147977825,29.127066569967699,0.00038981437683105469,Picard,29.127066569967699,2028706.2717853708,3760.374872182872,29.244042740931434,265.89865719240044
Picard (GD),1,17,0.93413308299384967,29.010558303687532,0.00041270256042480469,Picard,29.010558303687532,2007539.0409114356,3731.2478056128994,29.127066569967699,263.83906256363076
Picard (GD),1,18,0.93039655066188487,28.894516070473113,0.00043845176696777344,Picard,28.894516070473113,1986540.8092087994,3702.2372473092114,29.010558303687532,261.7877063133763
Picard (GD),1,19,0.92667496445922815,28.778938006190934,0.000461578369140625,Picard,28.778938006190934,1965710.2273880763,3673.3427312387375,28.894516070473113,259.74455548812278
Picard (GD),1,20,0.92296826460139592,28.663822254166316,0.00048565864562988281,Picard,28.663822254166316,1945045.9569326085,3644.5637932325471,28.778938006190934,257.70957726617019
Picard (GD),1,21,0.91927639154299179,28.549166965149695,0.00050854682922363281,Picard,28.549166965149695,1924546.6700124587,3615.8999709783793,28.663822254166316,255.6827389571055
Picard (GD),1,22,0.91559928597681306,28.434970297288888,0.00053167343139648438,Picard,28.434970297288888,1904211.0493990793,3587.3508040132315,28.549166965149695,253.6640080012771
Picard (GD),1,23,0.91193688883290314,28.321230416099649,0.00055646896362304688,Picard,28.321230416099649,1884037.788380678,3558.9158337159479,28.434970297288888,251.65335196927205
Picard (GD),1,24,0.90828914127757676,28.207945494435414,0.00057911872863769531,Picard,28.207945494435414,1864025.5906782462,3530.5946032998481,28.321230416099649,249.65073856139495
Picard (GD),1,25,0.90465598471246123,28.095113712457508,0.00060224533081054688,Picard,28.095113712457508,1844173.1703622711,3502.3866578054085,28.207945494435414,247.65613560714934
Picard (GD),1,26,0.90103736077361796,27.982733257607883,0.00062632560729980469,Picard,27.982733257607883,1824479.2517700985,3474.2915440929514,28.095113712457508,245.66951106472075
Picard (GD),1,27,0.89743321133052012,27.870802324577348,0.00064921379089355469,Picard,27.870802324577348,1804942.5694239661,3446.3088108353486,27.982733257607883,243.69083302046187
Picard (GD),1,28,0.89384347848519774,27.759319115279027,0.00067210197448730469,Picard,27.759319115279027,1785561.867949686,3418.4380085107664,27.870802324577348,241.72006968838011
Picard (GD),1,29,0.89026810457125671,27.648281838817905,0.00069522857666015625,Picard,27.648281838817905,1766335.9019959746,3390.6786893954873,27.759319115279027,239.75718940962648
Picard (GD),1,30,0.88670703215297786,27.537688711462824,0.00071811676025390625,Picard,27.537688711462824,1747263.4361544391,3363.0304075566687,27.648281838817905,237.80216065198798
Picard (GD),1,31,0.88316020402436002,27.427537956616789,0.00074100494384765625,Picard,27.427537956616789,1728343.2448801824,3335.4927188452057,27.537688711462824,235.8549520093801
Picard (GD),1,32,0.87962756320825841,27.317827804790191,0.00076460838317871094,Picard,27.317827804790191,1709574.1124130592,3308.0651808885905,27.427537956616789,233.91553220134259
Picard (GD),1,33,0.87610905295542851,27.20855649357113,0.00078749656677246094,Picard,27.20855649357113,1690954.8326995529,3280.7473530838001,27.317827804790191,231.98387007253717
Picard (GD),1,34,0.87260461674361567,27.099722267597119,0.0008106231689453125,Picard,27.099722267597119,1672484.2093152795,3253.5387965902273,27.20855649357113,230.059934592247
Picard (GD),1,35,0.86911419827663838,26.991323378526644,0.0008335113525390625,Picard,26.991323378526644,1654161.0553881065,3226.439074322635,27.099722267597119,228.14369485387803
Picard (GD),1,36,0.86563774148353478,26.883358085012631,0.00085663795471191406,Picard,26.883358085012631,1635984.1935218873,3199.447750944104,26.991323378526644,226.23512007446246
Picard (GD),1,37,0.86217519051758951,26.775824652672235,0.00087952613830566406,Picard,26.775824652672235,1617952.4557208095,3172.5643928590912,26.883358085012631,224.33417959416468
Picard (GD),1,38,0.85872648975552079,26.668721354061596,0.00090265274047851562,Picard,26.668721354061596,1600064.6833143346,3145.7885682064207,26.775824652672235,222.44084287578804
Picard (GD),1,39,0.85529158379649706,26.562046468645299,0.00092744827270507812,Picard,26.562046468645299,1582319.7268827534,3119.119846852363,26.668721354061596,220.55507950428495
Picard (GD),1,40,0.85187041746132042,26.455798282771006,0.00095033645629882812,Picard,26.455798282771006,1564716.4461833218,3092.5578003837122,26.562046468645299,218.67685918626782
Picard (GD),1,41,0.84846293579147714,26.349975089639983,0.00097250938415527344,Picard,26.349975089639983,1547253.7100769936,3066.1020021009413,26.455798282771006,216.80615174952268
Picard (GD),1,42,0.84506908404830727,26.244575189281303,0.000995635986328125,Picard,26.244575189281303,1529930.3964557392,3039.752027011305,26.349975089639983,214.94292714252464
Picard (GD),1,43,0.84168880771211463,26.139596888524196,0.0010187625885009766,Picard,26.139596888524196,1512745.3921704362,3013.5074518220235,26.244575189281303,213.08715543395451
Picard (GD),1,44,0.83832205248126812,26.03503850097016,0.0010418891906738281,Picard,26.03503850097016,1495697.5929593472,2987.3678549334977,26.139596888524196,211.23880681221866
Picard (GD),1,45,0.83496876427133704,25.930898346966092,0.0010650157928466797,Picard,25.930898346966092,1478785.9033771604,2961.3328164325253,26.03503850097016,209.39785158496983
Picard (GD),1,46,0.83162888921425537,25.82717475357834,0.0010890960693359375,Picard,25.82717475357834,1462009.2367245965,2935.4019180855585,25.930898346966092,207.56426017862989
Picard (GD),1,47,0.828302373657403,25.723866054564173,0.0011117458343505859,Picard,25.723866054564173,1445366.5149785865,2909.5747433319825,25.82717475357834,205.73800313791529
Picard (GD),1,48,0.82498916416276524,25.620970590345664,0.0011355876922607422,Picard,25.620970590345664,1428856.6687229981,2883.8508772774208,25.723866054564173,203.91905112536369
Picard (GD),1,49,0.82168920750610974,25.518486707984142,0.0011584758758544922,Picard,25.518486707984142,1412478.6370799134,2858.2299066870714,25.620970590345664,202.10737492086221
Picard (GD),1,50,0.81840245067609541,25.416412761152518,0.0011816024780273438,Picard,25.416412761152518,1396231.3676414671,2832.7114199790876,25.518486707984142,200.30294542117875
AA_pure,1,0,1,31.056129829713502,0,initial,31.056129829713502,2391510,4242.6406871192848,,300
AA_pure,1,1,0.99599999999997801,30.931905310393965,4.38690185546875e-05,AA,30.931905310393965,2367446.1441600006,4211.5845572895769,31.056129829713502,297.80400000000003
AA_pure,1,2,0.90710382513112209,28.171134162301861,0.00012993812561035156,AA,28.171134162301861,1857539.9999700524,3521.3917702664812,7732.9763275560481,-248.99999999699324
AA_pure,1,3,0.47473784556856974,14.74352016705598,0.00020170211791992188,AA,14.74352016705598,56785.584113708464,164.48827145499112,3685.8800417214761,11.631077217147777
AA_pure,1,4,0.59546427569798643,18.49281585503298,0.00027155876159667969,AA,18.49281585503298,446200.74452549324,1101.8121934492285,1266.3004649042216,-77.909887358197423
AA_pure,1,5,0.50471580226227553,15.674519482165236,0.00034046173095703125,AA,15.674519482165236,145283.00311493024,397.23810023230305,704.57409321692637,-28.088975441992325
