algorithm,m,iter,rel_res,residual,time,step_type,diagnostic_residual,objective_value,x_norm,step_from_prev_norm,s_value
Picard (GD),1,0,1,14.204361020475371,0,initial,14.204361020475371,8012.100000000004,29.698484809835026,,2.1000000000000005
Picard (GD),1,1,0.99600000000000033,14.147543576393474,3.528594970703125e-05,Picard,14.147543576393474,2978.0913936000011,15.494123789359636,14.204361020475371,1.0956000000000004
Picard (GD),1,2,0.094800477897252336,1.3465802129661681,6.3180923461914062e-05,Picard,1.3465802129661681,22.665978374400112,1.3465802129661681,14.147543576393474,0.095217600000000235
Picard (GD),1,3,0,0,8.8214874267578125e-05,Picard,0,0,0,1.3465802129661681,0
AA_pure,1,0,1,14.204361020475371,0,initial,14.204361020475371,8012.100000000004,29.698484809835026,,2.1000000000000005
AA_pure,1,1,0.99600000000000033,14.147543576393474,5.8650970458984375e-05,AA,14.147543576393474,2978.0913936000011,15.494123789359636,14.204361020475371,1.0956000000000004
AA_pure,1,2,1.9832735961768129,28.171134162471933,0.00039339065551757812,AA,28.171134162471933,1857539.9999999586,3521.3917703089514,3536.8858940983068,-248.99999999999585
AA_pure,1,3,1.3202460365975388,18.753251339683182,0.00047636032104492188,AA,18.753251339683182,476513.86190414376,1166.9210646117676,2354.4707056971783,-82.513779789640679
AA_pure,1,4,1.9832735961768129,28.171134162471933,0.00055646896362304688,AA,28.171134162471933,1857540.0000000042,3521.3917703090087,4688.3128349207773,249.00000000000043
AA_pure,1,5,1.190661656213269,16.912588018090407,0.00072240829467773438,AA,16.912588018090407,271361.354592669,706.75523421358719,2814.6365360954255,49.975141875151394
AA_pure,1,6,1.9832735961768411,28.171134162472335,0.00081133842468261719,AA,28.171134162472335,1857540.0000000631,3521.3917703090947,4228.1470045226797,-249.00000000000634
AA_pure,1,7,1.2392735971315751,17.603089576800045,0.00088620185852050781,AA,17.603089576800045,345839.88327763655,879.3806238909865,2642.0111464181114,-62.181600239737271
AA_pure,1,8,1.9832735961768411,28.171134162472335,0.00095605850219726562,AA,28.171134162472335,1857540.0000000515,3521.3917703090838,4400.7723942000666,249.00000000000517
AA_pure,1,9,1.2205792254834325,17.337547972858886,0.0010251998901367188,AA,17.337547972858886,316845.53034744383,812.9952229057053,2708.3965474033753,57.487443518889343
AA_pure,1,10,1.9832735961768411,28.171134162472335,0.0010933876037597656,AA,28.171134162472335,1857540.0000000217,3521.3917703090351,4334.3869932147454,-249.00000000000219
AA_pure,1,11,1.2277012635224127,17.438711972366121,0.0011610984802246094,AA,17.438711972366121,327839.61017233407,838.28622278253442,2683.1055475265007,-59.275787270478652
AA_pure,1,12,1.9832735961768129,28.171134162471933,0.0012280941009521484,AA,28.171134162471933,1857539.9999999495,3521.3917703089342,4359.6779930914709,248.99999999999497
AA_pure,1,13,1.2249781854911608,17.400032388923293,0.0012948513031005859,AA,17.400032388923293,323628.52229869226,828.6163269218298,2692.7754433871005,58.592022376831537
AA_pure,1,14,1.9832735961768129,28.171134162471933,0.0013599395751953125,AA,28.171134162471933,1857539.9999999369,3521.3917703089201,4350.0080972307469,-248.99999999999366
AA_pure,1,15,1.2260179141074539,17.414801069552439,0.0014259815216064453,AA,17.414801069552439,325235.30091276852,832.30849707911193,2689.083273229809,-58.853098232382344
AA_pure,1,16,1.9832735961767847,28.171134162471532,0.0014920234680175781,AA,28.171134162471532,1857539.9999999318,3521.3917703089082,4353.7002673880215,248.99999999999315
AA_pure,1,17,1.2256207155652579,17.409159118062281,0.0015571117401123047,AA,17.409159118062281,324621.31624378666,830.89800920656864,2690.4937611023447,58.753361678436697
AA_pure,1,18,1.9832735961768411,28.171134162472335,0.0016229152679443359,AA,28.171134162472335,1857540.0000000412,3521.3917703090615,4352.2897795156332,-249.00000000000415
AA_pure,1,19,1.2257724235101914,17.411314032481791,0.0016889572143554688,AA,17.411314032481791,324855.80105530267,831.43673781143809,2689.9550324976235,-58.791455543408922
AA_pure,1,20,1.9832735961768129,28.171134162471933,0.0017540454864501953,AA,28.171134162471933,1857539.9999999944,3521.3917703089996,4352.8285081204394,248.99999999999943
AA_pure,1,21,1.2257144750064339,17.410490911013824,0.0018231868743896484,AA,17.410490911013824,324766.23050779355,831.23095744444186,2690.160812864558,58.776904674115137
AA_pure,1,22,1.9832735961768411,28.171134162472335,0.0018904209136962891,AA,28.171134162472335,1857540.0000000412,3521.3917703090615,4352.6227277535099,-249.00000000000415
AA_pure,1,23,1.2257366091865185,17.410805312898638,0.0019552707672119141,AA,17.410805312898638,324800.44263643859,831.30955791565975,2690.0822123934036,-58.782462566735376
AA_pure,1,24,1.9832735961768129,28.171134162471933,0.0020213127136230469,AA,28.171134162471933,1857539.9999999763,3521.3917703089733,4352.7013282246298,248.99999999999761
AA_pure,1,25,1.2257281546559562,17.410685221694273,0.0020859241485595703,AA,17.410685221694273,324787.3746528817,831.27953511455325,2690.1122351944177,58.780339634110113
AA_pure,1,26,1.9832735961768411,28.171134162472335,0.0021531581878662109,AA,28.171134162472335,1857540.0000000093,3521.3917703090242,4352.6713054235706,-249.00000000000094
AA_pure,1,27,1.2257313839954653,17.410731092398517,0.0022182464599609375,AA,17.410731092398517,324792.36616191699,831.29100279062959,2690.1007675183937,-58.781150521261942
AA_pure,1,28,1.9832735961767847,28.171134162471532,0.0022830963134765625,AA,28.171134162471532,1857539.9999999325,3521.3917703089091,4352.6827730995419,248.99999999999324
AA_pure,1,29,1.2257301504969773,17.410713571340676,0.0023481845855712891,AA,17.410713571340676,324790.45957270608,831.28662252615902,2690.10514778275,58.780840789790894
AA_pure,1,30,1.9832735961768411,28.171134162472335,0.0024130344390869141,AA,28.171134162472335,1857540.0000000386,3521.3917703090601,4352.6783928352188,-249.00000000000392
AA_pure,1,31,1.2257306216513995,17.410720263788182,0.0024771690368652344,AA,17.410720263788182,324791.1878246417,831.28829563804572,2690.103474671017,-58.78095909666694
AA_pure,1,32,1.9832735961768129,28.171134162471933,0.0025422573089599609,AA,28.171134162471933,1857539.9999999688,3521.391770308961,4352.6800659470109,248.99999999999687
AA_pure,1,33,1.2257304416864099,17.410717707500499,0.0026061534881591797,AA,17.410717707500499,324790.90965709341,831.28765656610835,2690.1041137428588,58.780913907456814
AA_pure,1,34,1.9832735961768129,28.171134162471933,0.0026700496673583984,AA,28.171134162471933,1857540.0000000002,3521.3917703090069,4352.6794268751146,-249.00000000000003
AA_pure,1,35,1.2257305104269194,17.410718683915515,0.0027329921722412109,AA,17.410718683915515,324791.01590764325,831.2879006698787,2690.1038696391297,-58.780931168200105
AA_pure,1,36,1.9832735961768411,28.171134162472335,0.0027987957000732422,AA,28.171134162472335,1857540.000000031,3521.3917703090524,4352.6796709789314,249.00000000000313
AA_pure,1,37,1.2257304841703784,17.410718310958128,0.0028626918792724609,AA,17.410718310958128,324790.97532354284,831.28780743053301,2690.1039628785143,58.780924575182674
AA_pure,1,38,1.9832735961768129,28.171134162471933,0.0029277801513671875,AA,28.171134162471933,1857539.9999999546,3521.3917703089464,4352.6795777394782,-248.99999999999548
AA_pure,1,39,1.2257304941994798,17.410718453415104,0.0029916763305664062,AA,17.410718453415104,324790.99082527962,831.28784304477142,2690.1039272641715,-58.780927093489609
