method_key,algorithm,m,iterations,time,final_rel_res,final_residual,AA_steps,AA_percent,eta,cs,effective_m,bu_norm
picard,Picard,10,500,900.229297125,0.024308658740678217,1.1149683637261008,0,0.0,0.0,,0,2.844595997397779e-14
aa_pure,AA_pure,10,54,99.51296812500004,8.340318964243335e-11,3.82546478097323e-09,54,100.0,0.0,,10,4.333571193411507e-14
global_eta0,GlobalAndersonSolver,10,52,95.56853550000005,8.243057802909268e-11,3.780853879539464e-09,51,98.07692307692308,0.0,,10,2.273108380867668e-14
global_eta1e10,GlobalAndersonSolver eta=1e-10,10,52,94.71960612499993,8.184460607357966e-11,3.753977028809134e-09,51,98.07692307692308,1e-10,,10,2.547051382526621e-14
faa02,FAA cs=0.2,10,56,100.34737466700017,9.444021072876962e-11,4.331701240677608e-09,56,100.0,0.0,0.2,9,3.680458472586991e-14
faa0707,FAA cs=1/sqrt(2),10,55,98.17788758300003,6.902157585437076e-11,3.165821459468874e-09,55,100.0,0.0,0.7071067811865475,10,2.799818192000059e-14
picard,Picard,20,500,900.229297125,0.024308658740678217,1.1149683637261008,0,0.0,0.0,,0,2.844595997397779e-14
aa_pure,AA_pure,20,49,89.78471608300015,4.882503650178117e-11,2.239464202365089e-09,49,100.0,0.0,,20,2.7769455683754935e-14
global_eta0,GlobalAndersonSolver,20,50,93.572782792,7.532129733196311e-11,3.45477159130183e-09,49,98.0,0.0,,20,2.7695175416814484e-14
global_eta1e10,GlobalAndersonSolver eta=1e-10,20,50,90.80442279199997,6.706988394239389e-11,3.076302956584432e-09,49,98.0,1e-10,,20,3.3459470516907474e-14
faa02,FAA cs=0.2,20,56,100.02114566699993,9.444021072876962e-11,4.331701240677608e-09,56,100.0,0.0,0.2,9,3.680458472586991e-14
faa0707,FAA cs=1/sqrt(2),20,50,90.27983966599982,7.182958956824186e-11,3.2946169841119563e-09,50,100.0,0.0,0.7071067811865475,15,3.297321891021378e-14
picard,Picard,30,500,900.229297125,0.024308658740678217,1.1149683637261008,0,0.0,0.0,,0,2.844595997397779e-14
aa_pure,AA_pure,30,48,90.32754049999994,8.761167100488248e-11,4.018495734614845e-09,48,100.0,0.0,,30,2.684073614182275e-14
global_eta0,GlobalAndersonSolver,30,47,89.6269514170001,5.6512413686980056e-11,2.5920621162591826e-09,46,97.87234042553192,0.0,,30,2.7908355136215078e-14
global_eta1e10,GlobalAndersonSolver eta=1e-10,30,47,86.0227440000001,5.91187959012212e-11,2.711609383085315e-09,46,97.87234042553192,1e-10,,30,3.0774536938862776e-14
faa02,FAA cs=0.2,30,56,101.43077329200014,9.444021072876962e-11,4.331701240677608e-09,56,100.0,0.0,0.2,9,3.680458472586991e-14
faa0707,FAA cs=1/sqrt(2),30,50,89.82123729199975,7.182958956824186e-11,3.2946169841119563e-09,50,100.0,0.0,0.7071067811865475,15,3.297321891021378e-14
picard,Picard,50,500,900.229297125,0.024308658740678217,1.1149683637261008,0,0.0,0.0,,0,2.844595997397779e-14
aa_pure,AA_pure,50,50,92.23651054099992,3.623964359004988e-11,1.6622083738416763e-09,50,100.0,0.0,,50,3.5469133807974005e-14
global_eta0,GlobalAndersonSolver,50,47,89.83096791700018,8.065409772886085e-11,3.6993718300906974e-09,46,97.87234042553192,0.0,,45,3.0896575683821675e-14
global_eta1e10,GlobalAndersonSolver eta=1e-10,50,48,87.96765516699998,5.679194491102788e-11,2.604883410712809e-09,47,97.91666666666667,1e-10,,46,2.931577886583841e-14
faa02,FAA cs=0.2,50,56,102.11871629199959,9.444021072876962e-11,4.331701240677608e-09,56,100.0,0.0,0.2,9,3.680458472586991e-14
faa0707,FAA cs=1/sqrt(2),50,50,90.21672320800008,7.182958956824186e-11,3.2946169841119563e-09,50,100.0,0.0,0.7071067811865475,15,3.297321891021378e-14
