method_key,algorithm,m,iterations,time,final_rel_res,final_residual,AA_steps,AA_percent,eta,cs,effective_m,bu_norm
picard,Picard,10,500,7.550040083000001,0.46112439577071634,3.8185537663348423,0,0.0,0.0,,0,5.678477985704607e-15
aa_pure,AA_pure,10,46,0.7699665000000007,6.37431384683968e-11,5.278545305972672e-10,46,100.0,0.0,,10,2.646091860969775e-15
global_eta0,GlobalAndersonSolver,10,41,0.7227032500000004,3.98019270601683e-11,3.2959825998571064e-10,39,95.1219512195122,0.0,,10,4.3099847885440166e-15
global_eta1e10,GlobalAndersonSolver eta=1e-10,10,41,0.6362973329999999,4.060082586165504e-11,3.362139108931817e-10,39,95.1219512195122,1e-10,,10,2.0997573470159203e-15
faa02,FAA cs=0.2,10,48,0.7736002500000012,5.990030619277702e-11,4.960321811530678e-10,48,100.0,0.0,0.2,8,2.14067136915398e-15
faa0707,FAA cs=1/sqrt(2),10,62,1.0045247909999997,9.365875593661914e-11,7.755846329367523e-10,62,100.0,0.0,0.7071067811865475,5,1.7984579522956795e-15
picard,Picard,20,500,7.550040083000001,0.46112439577071634,3.8185537663348423,0,0.0,0.0,,0,5.678477985704607e-15
aa_pure,AA_pure,20,43,0.7645370000000007,7.74260054738519e-11,6.411618372961711e-10,43,100.0,0.0,,20,3.0582245201332424e-15
global_eta0,GlobalAndersonSolver,20,37,0.6845718749999996,5.557379840356305e-11,4.602045329845794e-10,35,94.5945945945946,0.0,,20,1.989022371047501e-15
global_eta1e10,GlobalAndersonSolver eta=1e-10,20,37,0.6273137920000007,5.548720713938672e-11,4.59487473984915e-10,35,94.5945945945946,1e-10,,20,1.9990508041305793e-15
faa02,FAA cs=0.2,20,48,0.7841759580000005,5.7700634334916385e-11,4.778167812857597e-10,48,100.0,0.0,0.2,8,3.064249627625552e-15
faa0707,FAA cs=1/sqrt(2),20,62,1.0177056669999995,9.365875593661914e-11,7.755846329367523e-10,62,100.0,0.0,0.7071067811865475,5,1.7984579522956795e-15
picard,Picard,30,500,7.550040083000001,0.46112439577071634,3.8185537663348423,0,0.0,0.0,,0,5.678477985704607e-15
aa_pure,AA_pure,30,42,0.8051018750000001,8.508122128125363e-11,7.045543912828284e-10,42,100.0,0.0,,30,2.5446622038427764e-15
global_eta0,GlobalAndersonSolver,30,37,0.7224906669999989,6.198359725196828e-11,5.132838360067443e-10,35,94.5945945945946,0.0,,30,2.079358545999487e-15
global_eta1e10,GlobalAndersonSolver eta=1e-10,30,37,0.6515509590000015,6.191046437664432e-11,5.126782254186416e-10,35,94.5945945945946,1e-10,,30,3.2239445589024342e-15
faa02,FAA cs=0.2,30,48,0.8222038339999997,5.7700634334916385e-11,4.778167812857597e-10,48,100.0,0.0,0.2,8,3.064249627625552e-15
faa0707,FAA cs=1/sqrt(2),30,62,1.0433604579999987,9.365875593661914e-11,7.755846329367523e-10,62,100.0,0.0,0.7071067811865475,5,1.7984579522956795e-15
picard,Picard,50,500,7.550040083000001,0.46112439577071634,3.8185537663348423,0,0.0,0.0,,0,5.678477985704607e-15
aa_pure,AA_pure,50,44,0.875973333000001,6.105816843073407e-11,5.056203947678734e-10,44,100.0,0.0,,44,2.673507677844636e-15
global_eta0,GlobalAndersonSolver,50,38,0.7179537499999995,2.0641967287812874e-11,1.709353542219248e-10,36,94.73684210526316,0.0,,35,2.6529974853936905e-15
global_eta1e10,GlobalAndersonSolver eta=1e-10,50,38,0.6657730839999978,2.0808953901756415e-11,1.7231816408722344e-10,36,94.73684210526316,1e-10,,35,2.948163525178825e-15
faa02,FAA cs=0.2,50,48,0.8091694159999996,5.7700634334916385e-11,4.778167812857597e-10,48,100.0,0.0,0.2,8,3.064249627625552e-15
faa0707,FAA cs=1/sqrt(2),50,62,1.0316850839999994,9.365875593661914e-11,7.755846329367523e-10,62,100.0,0.0,0.7071067811865475,5,1.7984579522956795e-15
